pathway	external_id	source	entrez_gene_ids
Cytokine-cytokine receptor interaction - Mus musculus (mouse)	path:mmu04060	KEGG	22018,12803,12804,57349,56838,21942,242519,621580,100861969,230979,22035,21934,16197,16180,100861978,21935,329244,230405,13856,13857,24099,140806,85030,12977,21938,29820,66102,57914,57916,21941,16992,16963,404549,17480,15945,12983,16994,16182,16847,60504,60505,15962,15964,15965,15967,15968,15969,15970,21947,15972,15974,15975,15976,71785,15978,15979,15980,17000,100862578,15977,21937,80901,14257,100041579,18053,18383,245527,27279,22163,22164,12767,16154,18590,18591,18595,18596,19109,100038993,72049,12458,19116,100504239,55985,12978,110542,12981,209590,100039863,12984,12985,12986,16194,16160,12776,69583,16161,16590,320100,94185,11477,100503254,11479,213208,11481,13019,16177,100862177,14563,240873,13607,12982,50929,50930,16169,13051,100042493,237310,237313,56066,100039939,56069,14600,16171,12162,242700,11480,16174,14102,14103,23832,16153,100504346,16155,16156,16157,16158,16159,100041504,16176,16162,16163,16164,100862247,16168,100042555,100504362,21803,16172,16173,13649,16175,21808,21809,16178,21812,21813,58181,16183,16184,16185,16186,16187,16188,16189,16190,16191,16192,16193,20290,22339,22340,22341,16198,20295,20296,20297,20299,20300,20301,20302,18829,20304,20305,20306,20307,20308,20309,20310,20311,20312,20315,53603,12774,54635,100040048,12145,12777,100041593,12156,14205,15234,56708,12166,12167,12168,21936,100039053,13608,17295,16195,18414,20292,56221,20293,65956,21926,56744,50905,16199,230828,21933,14254,14255,14256,17329,57266,21939,21940,16542,387510,21943,21944,11705,17311,21948,21949,21950,16323,16324,16325,16326,16846,13645,227288,20303,12765,12766,326623,12768,12769,12770,12771,12772,12773,83430,12775,93672,14825,12778,18413,16878,24047,16880,16196,230396,242517
Vitamin B6 metabolism - Mus musculus (mouse)	path:mmu00750	KEGG	7,187,257,028,216,130,000,000,000,000,000,000,000,000,000,000,000,000,000,000
MicroRNAs in cancer - Mus musculus (mouse)	path:mmu05206	KEGG	24064,723968,636931,15364,100628567,11789,242705,16402,735252,171543,15387,14365,16416,26395,13555,100628572,13866,13867,22061,12703,22196,724063,387133,387134,387135,387136,387139,387140,67653,15430,387143,24136,387145,110157,387151,723896,11350,387159,387161,387163,387164,15461,387168,216456,100044900,387173,387174,387175,387176,387178,100316783,21417,12914,387187,387189,387190,192119,13433,387194,13435,13436,387199,12928,12929,74370,16150,387202,18569,387210,387211,100049549,387216,387217,387218,387219,387220,387221,387222,387223,387224,387225,387226,12443,12444,387229,18590,12447,12448,387233,12450,387235,387236,387237,387239,387242,387243,387244,387245,387246,387247,387248,387249,387251,387252,387253,20662,20663,140486,19143,12043,18128,18129,11987,18132,12505,17118,723955,387195,19684,14056,723836,22762,18591,18669,18671,12530,12531,12532,13557,18131,23805,723925,18176,22059,20416,387201,67849,19211,18595,16653,384783,100124432,12050,71819,13078,18712,13081,12571,26396,12575,12576,12578,17395,21808,12168,17210,18750,18751,18752,21825,22339,14660,19225,22350,22352,13649,22415,12125,17246,17248,11920,17250,21859,18033,723814,18792,723817,723818,723819,723821,53614,20848,723825,723826,723827,723828,329278,723830,12151,723909,93759,328572,16765,73086,723824,23939,723848,723852,56717,17295,22416,11848,723837,723951,723868,12189,723870,751519,723874,387227,19877,751527,387228,723883,723884,12018,723886,387144,723890,723891,723892,723893,723894,723895,70584,20724,387231,723900,751549,723902,723903,14784,723905,723908,751557,21960,18803,17869,723953,21923,81877,723926,234779,18596,723930,12367,56289,74747,723942,387153,723944,271849,723946,17389,723949,723950,16367,723952,14184,723954,22003,212980,723957,723959,723962,723963,723964,723965,723966,723967
Pyrimidine metabolism - Mus musculus (mouse)	path:mmu00240	KEGG	18950,382985,68106,72962,80914,71701,18968,18969,18971,66588,18973,18974,171567,20016,20017,20018,20019,20020,20021,20022,72269,245841,51797,69719,66136,54369,69745,69241,67710,55936,19075,19076,76952,22169,22171,20133,20135,18972,320685,74414,18102,18103,64705,56520,69833,66763,12495,218832,12497,12499,59001,331487,70881,22245,22247,103149,69870,79059,76025,22271,99586,70408,75533,70428,232223,69920,107569,16434,26939,50493,230718,26462,66401,76654,66420,21877,66422,13178,67967,67464,215446,23959,72090,21915,667034,67486,231329,66979,100862375,64424,103850,56749,56248,66491,67005,68556,57813,78929,28071,100862456,67065,110074,50773
Enzymatic degradation of dopamine by COMT	REACT_91241	Reactome	1,284,617,161
Enzymatic degradation of Dopamine by monoamine oxidase	REACT_97355	Reactome	1,284,617,161
Endometrial cancer - Mus musculus (mouse)	path:mmu05213	KEGG	18176,11651,11652,12550,19211,16653,13712,74769,18706,18707,18708,18709,18710,26395,26396,12443,56484,21414,21415,21416,13866,22059,16842,26413,18607,26417,20662,20663,109880,17869,11836,56637,14784,17350,12385,16202,13645,320207,13649,12371,12005,216033,12386,12387,15461,12006,30955,12015,23797,11789,23805,110157
alpha-Linolenic acid metabolism - Mus musculus (mouse)	path:mmu00592	KEGG	80,911,564,732,356,700,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Linoleic acid metabolism - Mus musculus (mouse)	path:mmu00591	KEGG	69888,337924,107141,665095,433247,13113,230459,72082,13077,74519,26970,329502,100041375,11687,13096,13097,13098,13099,66350,13095,13106,225845,665270,13112,232889,13114,226143,13109,56388,26565,69836,226105,53973,237625,18778,26971,18780,18781,18782,18783,18784,100066,404195,271844,211429,78390,53357,72303,242546,13110
Arachidonic acid metabolism - Mus musculus (mouse)	path:mmu00590	KEGG	665095,631304,13850,18778,56351,225845,78390,666168,237625,230459,435802,433247,16993,17001,53357,72303,12408,12409,107141,74519,106648,243881,211429,242546,665270,226143,13089,69836,96979,54486,170716,100066,404195,67305,230639,100043508,100048119,75512,277753,69888,14598,19215,19223,19224,19225,329502,13088,109857,13090,64292,13094,13095,13096,13097,13098,13099,66350,13106,13109,13110,226105,13117,13118,13119,100040843,207182,23887,26970,26971,18780,18781,18782,71519,18784,71522,18783,72054,64385,21391,72082,208285,11684,11685,11686,11687,11688,11689,14775,14776,232889,14778,14780,26565,70101,69590,66469,271844,320997
Galactose metabolism - Mus musculus (mouse)	path:mmu00052	KEGG	1,677,014,595,742,460,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Ascorbate and aldarate metabolism - Mus musculus (mouse)	path:mmu00053	KEGG	94,215,116,712,430,800,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Prostate cancer - Mus musculus (mouse)	path:mmu05215	KEGG	22027,94224,242705,14870,18607,13866,22059,12447,231991,11835,11836,12043,110157,12371,12387,15461,74769,71785,12912,12913,12914,18035,16000,16001,12566,11911,56458,16150,12443,15516,18590,15519,12448,18595,18596,18033,18095,20662,20663,19645,320207,30955,12675,12015,19697,13555,23797,18176,208647,19211,16653,18706,18707,18708,18709,18710,16151,26395,26396,12575,12576,208677,21802,26413,26417,109880,26427,56637,13645,13649,17246,14182,14183,54635,23920,328572,11651,11652,56717,21414,21415,21416,18591,13557,14784,16842,78284,16333,16334
Fructose and mannose metabolism - Mus musculus (mouse)	path:mmu00051	KEGG	###############################################################################################################################################################################################################################################################
Bladder cancer - Mus musculus (mouse)	path:mmu05219	KEGG	###############################################################################################################################################################################################################################################################
Melanoma - Mus musculus (mouse)	path:mmu05218	KEGG	16000,16001,15234,30955,11652,12550,80903,12567,16653,64654,17295,74769,18706,18707,18708,18709,18710,14169,26395,26396,18590,18591,12578,18595,18596,12571,67112,320207,22059,26413,26417,12443,100862558,109880,12575,56636,19645,18176,13557,19211,17246,11651,13645,110157,13649,640611,14164,14165,14166,14167,14168,80857,14170,14171,14172,14173,14174,14175,14176,14177,14178,14179,14180,15461,14182,242705,71785,54635,12015,13555,23797,17342,11836
Glyoxylate and dicarboxylate metabolism - Mus musculus (mouse)	path:mmu00630	KEGG	1,080,376,707,815,110,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Oxidative phosphorylation - Mus musculus (mouse)	path:mmu00190	KEGG	22272,66052,675851,66576,11958,74776,66594,66091,67126,12856,100041273,67130,12859,66108,12861,12862,12864,12865,12866,12867,12868,12869,17991,17992,17993,17995,57423,66142,225887,67680,68194,68197,68198,66152,68202,67184,192113,108664,73834,595136,54405,66694,54411,76429,75406,239760,11972,74915,242341,68775,11944,11945,66218,11947,70316,11949,11950,11951,11957,623286,230075,11964,66237,11966,67264,228033,104130,72900,11973,11974,11975,67273,84682,140494,635087,11984,75483,100048613,407785,407790,70383,66290,110323,68342,68349,100046079,631040,22273,100042503,68375,66335,27425,17705,17706,17708,17709,17710,17711,17716,17717,17718,17719,17720,17721,17722,66377,67895,226646,12857,66144,226139,12858,78174,66916,67942,11946,66925,66414,21871,66416,227197,333182,66945,100504968,66445,100047429,28080,69875,27060,67003,66495,110935,338375,67530,76252,114143,20463,78330,66043,69802,66046,71679
Selenocompound metabolism - Mus musculus (mouse)	path:mmu00450	KEGG	5,088,020,768,239,710,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Mucin type O-Glycan biosynthesis - Mus musculus (mouse)	path:mmu00512	KEGG	2,301,452,129,962,330,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Other glycan degradation - Mus musculus (mouse)	path:mmu00511	KEGG	66,848,171,591,446,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
N-Glycan biosynthesis - Mus musculus (mouse)	path:mmu00510	KEGG	17155,17156,17158,13200,14595,16430,107895,57370,103963,17308,17309,223774,380959,56737,227619,13478,67569,13480,13481,53418,320302,328370,102580,80286,320438,230815,217664,140481,68292,57377,66248,240119,381903,57170,208211,207958,20440,20014,268510,13135,67555,66789,103534,208624,227697,53618,68563,67574,14376,269181
Other types of O-glycan biosynthesis - Mus musculus (mouse)	path:mmu00514	KEGG	145,952,177,341,971,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Gastric acid secretion - Mus musculus (mouse)	path:mmu04971	KEGG	224129,11461,16516,70405,16518,16513,20544,12426,16526,232975,110895,432530,67821,27222,16535,11928,12313,108058,12315,80796,12314,16517,12322,12323,19108,12325,11944,11945,494124,104110,104111,228785,16438,16439,16440,18747,213435,18749,18750,18751,18752,11931,72258,107589,11932,20535,22350,56379,14677,14678,14679,98660,14682,14683,208890,12638,11933,11515,238564,20604,15466,18795,18796,18797,18798,12349,246133,11512,11513,11514,14459,210044,20606,12671
Salivary secretion - Mus musculus (mouse)	path:mmu04970	KEGG	224129,67972,70405,17110,20544,234889,232975,20496,12945,432530,19091,19092,22318,12182,11928,12313,12314,12315,11548,11549,11550,11936,11554,11555,11556,11941,16534,80796,494124,67821,104110,104111,381833,64177,54195,60596,239134,16438,16439,16440,18747,18749,18750,18751,18752,11931,11932,320707,74180,11830,11933,20535,18125,12494,17105,13010,27222,19108,14682,14683,20192,98660,76113,12796,381290,18795,18796,18797,18798,16531,11512,11513,11514,11515,210044,212989,12671
Carbohydrate digestion and absorption - Mus musculus (mouse)	path:mmu04973	KEGG	12289,11651,11652,109959,232714,232975,74769,18706,67821,18708,18709,18710,11928,11931,11932,11933,11936,242851,100043684,56485,100043686,68401,100043688,14377,14378,15275,15277,20526,14385,20537,83770,83771,18751,212032,11722,320207,216019,27222,69983,98660,30955,18796,226413,18707,23797
Pancreatic secretion - Mus musculus (mouse)	path:mmu04972	KEGG	18946,18947,232975,20496,13487,103964,14682,14683,229927,100040233,229933,22063,56373,16438,16439,16440,237625,22074,12349,20544,53313,67653,11848,12873,27222,109660,53869,210044,109697,54403,12425,16531,12638,16535,11928,11931,11932,11933,11936,11937,11938,11941,104110,104111,320707,69836,12494,20191,232680,67821,11512,11513,11514,11515,319229,545562,67868,23844,436522,67373,66350,18750,18751,18752,12613,20535,80718,99663,22072,18778,26971,18780,18781,18782,18784,98660,381290,18795,18796,18797,18798,17274,99709,12671,224129,67972,13706,19340,432530,12182,19353,215449,73626,80797,76703,100043684,66473,12722,69060,26565,26970,109905,233979
Fat digestion and absorption - Mus musculus (mouse)	path:mmu04975	KEGG	###############################################################################################################################################################################################################################################################
Protein digestion and absorption - Mus musculus (mouse)	path:mmu04974	KEGG	94216,12814,232975,12816,12817,12818,12819,12821,12822,12824,12825,12826,12827,12828,12829,20510,12831,12832,12833,12834,12835,12836,12839,12840,100040233,12842,12843,20532,56373,22072,22074,20540,20541,69700,12873,57442,27222,12815,109660,74338,373864,53867,109697,16529,16534,16535,11928,11931,11932,11933,11936,103964,13482,67760,12830,71355,20514,232680,67821,30962,50934,12841,170745,72461,110893,72472,105243,67868,245026,215335,436522,110891,67373,56643,98660,17254,70008,17287,17288,13706,100040591,13717,73626,76703,66473,58803,68553,17380
Vitamin digestion and absorption - Mus musculus (mouse)	path:mmu04977	KEGG	79,235,146,036,709,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Lysine degradation - Mus musculus (mouse)	path:mmu00310	KEGG	15107,18822,208266,231051,18193,239122,192195,11669,234135,84505,192289,74147,11671,234407,239017,208043,107823,233904,93747,97212,170442,26432,26433,110147,69188,64707,78920,20937,56752,269132,73251,75410,72535,381022,225888,110695,270076,235626,232811,30956,214162,110446,23923,67956,18293,74729,19193,77683,110460
Mineral absorption - Mus musculus (mouse)	path:mmu04978	KEGG	67972,70358,15368,15369,232975,22782,12309,11927,11928,22041,11931,11932,11933,11936,105243,171429,73649,13487,58800,64177,67634,20531,12724,20537,20541,22337,74051,17750,20529,11977,225997,320718,17748,27222,53945,72027,74338,15203,98660,67821,100862446,14319,52466,14325,18173,18174
Arrhythmogenic right ventricular cardiomyopathy (ARVC) - Mus musculus (mouse)	path:mmu05412	KEGG	12288,192897,109700,12293,12294,12289,12296,16905,12298,12299,12300,16398,16399,16400,16401,16402,16403,16404,12292,16410,16412,13726,16773,16416,13346,104099,16420,16421,21414,20391,21416,12295,12558,140723,109620,12297,16842,13506,81905,11461,12385,11465,241226,11938,11472,13138,16419,320910,109711,13405,20191,16480,216033,12386,12387,60595,14609,56808,54377,54378,21415,11474,20541,81904,54376,24051,24052,24053,319734,319480,67451,54652,13511,213119
Inflammatory bowel disease (IBD) - Mus musculus (mouse)	path:mmu05321	KEGG	14961,19883,16171,21898,19885,24088,20371,14998,14999,15000,15001,15002,53791,16160,16161,16162,16163,57765,21926,18033,21803,16153,16173,16174,16175,16176,21809,20848,16182,16183,16186,16159,21808,16189,16190,16191,16193,209590,20849,100504404,60504,60505,16476,257630,257632,17132,18018,83430,17126,17127,15978,15979,15980,20846,14960,19697,20852,14969,50929
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Mus musculus (mouse)	path:mmu00532	KEGG	7,875,274,241,212,890,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
ABC transporters - Mus musculus (mouse)	path:mmu02010	KEGG	56325,56199,77706,27403,27404,27405,11666,381072,27416,27410,27413,192663,76184,27421,224814,11303,11304,11305,217258,11307,217262,217265,20927,20928,76408,244562,67470,268379,12638,74591,17250,19299,19300,27409,21354,21355,12780,18669,18670,18671,74610,26357,239273,74104,26874,11306
Viral myocarditis - Mus musculus (mouse)	path:mmu05416	KEGG	547349,15894,544791,14360,16414,16415,77579,12367,12370,12371,11350,11352,13405,12389,110696,16061,14960,14961,14963,14964,14969,14972,14985,14990,14991,16408,14997,14998,14999,15000,15001,15002,12443,15006,15007,15013,15018,15019,15024,399549,15039,15040,15042,15043,11461,12487,11465,15051,18646,12519,667772,12524,13052,208643,170758,13063,13067,668940,71960,110557,101056305,13136,13137,13138,100504404,12122,676708,13690,16773,333715,19353,19354,20391,21939,24052,21947,101056446,230861,17879,17880,17882,17883,17884,17885,17886,17888,100862435,140781,224753,224754,24051,224756,24053,224761
Steroid biosynthesis - Mus musculus (mouse)	path:mmu00100	KEGG	1,312,115,490,135,950,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
NOD-like receptor signaling pathway - Mus musculus (mouse)	path:mmu04621	KEGG	19200,12675,19094,54483,66824,239319,268973,192656,22034,11796,11797,16150,16151,15516,15519,17952,29857,22051,66724,21926,19697,26409,16176,68652,26413,26414,26415,26416,26417,26419,26420,17951,14825,16193,637515,20293,59079,20296,12362,67955,20304,66513,12370,332579,20310,107607,216799,257632,195046,16173,22027,18033,100862578,18035,18036,21929,53880,17940,17948
Toll-like receptor signaling pathway - Mus musculus (mouse)	path:mmu04620	KEGG	56066,22031,74769,22034,24088,53791,15964,68652,404549,15945,12370,15962,16476,15965,15967,15968,15969,15970,15972,15974,15975,15976,15977,18033,18035,225471,142980,18710,12675,19094,56480,29857,56489,12475,17087,16160,54473,320207,26399,12519,30955,12524,13038,19697,23797,170743,170744,14082,106759,20750,18706,18707,18708,18709,16150,16151,26395,26396,26397,26398,16159,26400,16176,26409,26410,26413,26414,26415,26416,26417,16179,26420,19766,26419,16193,20302,20303,20304,242517,242519,54123,20846,54131,11651,11652,266632,21897,21898,21899,19353,117149,16803,21926,27056,17329,21939,14281,66513,17874,81897,230396
Cytosolic DNA-sensing pathway - Mus musculus (mouse)	path:mmu04623	KEGG	12675,70408,383619,26388,16150,16151,22040,70428,67486,77125,56480,16176,100044068,19697,56489,16173,74414,20016,66824,20018,18035,19766,15945,230073,66491,67005,72512,16193,20304,18036,404549,56417,69833,12362,20303,218832,245841,56532,242517,242519,15962,58203,15964,15965,15967,15968,15969,15970,26939,15972,15974,78929,15977,54123,69870,18033,54131,66420,100862456,67065,230396,228607
Alanine, aspartate and glutamate metabolism - Mus musculus (mouse)	path:mmu00250	KEGG	7,398,821,645,610,860,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Proteoglycans in cancer - Mus musculus (mouse)	path:mmu05205	KEGG	69632,26415,80903,93735,17931,16398,69253,74769,16402,14083,24088,108058,16412,14365,14366,14367,16416,13345,12322,12323,12325,57265,67112,14172,13866,13867,13869,18479,667739,14388,14174,16438,16439,16440,14175,11836,20544,15200,545291,387140,67653,15430,387144,20663,110157,12367,15442,14179,14000,68794,100862558,15461,12387,19045,19046,19047,12391,58988,12402,19303,17532,17022,16000,16001,16002,14102,20104,109676,16542,22160,327826,319757,19094,12443,16410,13982,29857,20130,234779,19108,15529,15530,192176,29875,16419,93897,228026,14368,11461,14369,11465,14370,320207,14362,329251,12505,216795,286940,12512,19684,17126,30955,22410,13039,13043,23797,12540,12842,18176,21803,64654,208650,22411,16653,71950,18706,18707,18708,18709,18710,14103,26395,26396,12575,16160,26416,17698,20779,26413,19247,21808,26417,12843,22325,18569,109880,18747,15163,72508,14178,18750,18751,18752,21825,15170,22339,74055,22413,22350,14733,13649,66911,21844,14165,14166,14167,14168,14169,14170,14171,100045148,14173,17246,12389,14176,14177,22370,21859,14180,22414,14182,232807,18792,18793,66922,19206,18749,20848,18803,13179,12390,15234,11651,11652,22408,22409,21898,22423,22412,56717,14734,17295,13712,22417,22418,15251,22420,22421,22422,13207,19353,80794,20890,16801,22416,19877,19878,22415,11848,723893,83383,75705,14268,14784,22059,17869,11733,11735,80857,20662,14371,21926,20969,20971,17390,17395,56636,14164,22419
Riboflavin metabolism - Mus musculus (mouse)	path:mmu00740	KEGG	6,665,920,955,811,430,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
