GeneName	day1	day2	day3	WOexpr
SDCBP2	-3.248263408	-1.726824172	5.894953129	0
XBP1	-1.841214595	-2.360649398	-3.1454853	0
FAT1	-1.566438112	-4.97766858	-5.704635488	0
KRT7	-3.294811105	-3.891048462	2.722673083	0.965220802
GREM1	4.487524954	5.75882076	7.864382251	-1.607790818
MASP1	-2.149677376	-2.950758738	3.30620582	0
PJA1	1.970740762	-4.486446552	-3.336208896	0
ELOVL3	4.642786743	-2.874099641	2.120604992	0
CYP8B1	-4.997277196	5.122188782	-2.511837653	0
IFNGR2	-1.80889442	1.087938029	-6.112807374	0
VIL1	-1.364954709	-2.659150224	-2.40311916	0.786586919
DNER	6.278943274	5.886840281	-3.873016201	1.644848121
TNC	-2.400532881	3.275814154	-0.848508725	0
OSBPL6	2.16270521	-4.53887698	-1.543191181	0
P2RX7	1.670599547	5.326027246	-6.158458262	-0.798999804
GDF11	3.22054824	-1.743581923	-1.692534684	0
HABP2	-2.306940381	-5.365685964	6.187227832	0
NBPF1	1.378438528	8.636556283	-0.73839056	0
ZCCHC12	7.534160548	2.536412691	6.461903284	0
C9orf116	2.81313326	-1.864125185	4.395607017	0
CYP4A11	-4.161521156	-2.408742511	5.66128601	0
SEPT3	3.913303858	-2.763349172	1.990163159	0
NEFH	4.597486103	4.735027655	1.775740007	0
SORBS2	-1.632946503	-4.640198019	7.182336661	0
ST6GAL1	-2.130257189	-3.657010014	-0.912949931	0
AC245041.2	-2.871165563	4.767749996	5.322321856	0
SLC2A4	4.99956469	-1.289036545	-4.101104366	0
ACSM2A	-4.553852598	5.633107401	2.915046906	0
ATF3	2.513072729	-1.490275739	1.451389345	0
ENTPD5	-1.682928025	-3.070897859	-2.047835054	0.652203105
FAM234B	2.527782905	-2.180192994	1.220074466	0
ME3	-2.330334725	-3.038259129	-2.466114686	0
ATP2A2	-1.376448013	-4.115687875	-0.927075713	0
TK2	-1.859076349	3.898758468	-1.630915927	0
NLRP1	4.969146762	-2.153073404	-5.680239468	0
BDH1	-4.906633034	-3.376580025	-5.053783645	0
FUBP1	-1.245329408	-2.886417081	-1.035211477	0
SLC10A1	-3.285099958	3.422112892	-3.70343731	0
ENC1	-2.283986287	-3.525842297	-6.335440622	0
GCC1	1.926761915	-5.890772541	-1.7073642	0
JADE1	-1.979322266	4.126220065	-3.130886657	0
KCTD14	-2.163156339	-1.577899497	4.550174042	0
FMO1	-4.705660082	-2.445105239	-2.004984997	0
PSG8	-5.517132649	7.196498187	-1.495528448	-0.97080197
IRF9	-3.063646783	-2.572666728	-0.67326637	0
SERPINH1	-3.512456261	-4.928730321	1.432603821	0
CPPED1	-1.809680254	-2.235781203	3.455667228	0
NAT8	-3.445676667	6.455513955	3.655762731	0
MYOM1	-1.99941948	1.181377125	-2.09669213	0
PSG9	-4.572797452	-3.562715356	-1.357069121	-1.772587201
SEMA6A	4.515566686	-1.968354399	-5.036752273	0
OAS2	-2.697823079	-2.750563246	2.509534422	0
ARMH4	2.195683121	-1.461009113	-2.717645284	0
LRAT	3.827002654	-2.67598863	-0.590838217	0
RTN3	1.536250016	-1.909897572	1.845229432	0
SOX6	-2.661959341	-5.156538334	5.594437735	0
OSER1-DT	3.44680618	2.461574713	3.923934955	0
UPB1	2.45383842	-4.11366864	3.237505456	0
TMEM246	-2.498988565	-2.072716455	2.36283984	0
ARFGEF3	1.989269646	2.219356093	1.295383457	0
TREML3P	-5.458188891	-1.805640823	-2.932200786	0
PARM1	5.046104259	-2.200064067	-4.849143936	0
LINC02015	-3.71392903	4.231419481	-2.496111634	0
BHMT	3.181731745	3.209012265	-2.941096714	1.846712887
AL138847.2	-4.334319585	6.932667426	3.378746727	0
KLHL42	-1.602380016	0.92687919	-6.205556386	0
ENO3	-1.809225756	-1.917752398	3.472687685	0
B3GLCT	-2.339092415	3.605901108	2.459373548	0
BRD9	-2.082530927	5.054286514	-2.676813853	0
MMP24	-4.146677183	3.432975747	4.691223488	0
GTF2I	-2.365164564	-3.055479427	-3.502584714	0
AC108751.5	-5.021103009	-1.899291591	-2.081164535	0
AHNAK	-1.791555875	1.226608368	-6.208179725	0
APOL3	-1.331690165	-2.946468079	-2.481102014	-0.833602173
CHKA	1.870297083	-1.34087228	1.583091064	0
RALGAPA2	1.78329237	-4.285326561	2.174553699	0
TRIM16L	-1.426444195	-5.932980568	2.603366105	0.524341314
ATXN10	-1.365046695	-2.345705015	-4.061808944	0
PARP3	-3.125660281	-1.603772971	-5.569190414	0
HOXB9	6.79203223	-5.502077615	-6.110472927	0
ADRB2	2.571749055	1.508954071	-3.662889373	0
SPATS2L	-2.004465959	-1.763351545	4.15145453	0
HSPA12A	1.976880545	1.512600534	4.417934485	0
UGT1A9	-3.209758576	6.290327576	-2.566458874	0
AARS	1.295377512	3.594715737	-2.173983325	0
LRRN1	5.72314404	3.689408543	-4.42577601	0
LANCL2	-2.552928142	-3.044942249	-4.385309677	0
IP6K3	-4.351862094	4.159718689	2.21902845	0
RNF157	2.987103379	1.478927297	-1.797596455	0
B3GNT5	1.936250717	6.749656521	-2.024596806	0
ANOS1	3.615698107	-4.170823752	5.249299039	0
PALMD	-4.173196643	2.103249629	-2.095788352	0
FST	-1.879984618	-2.955743813	-3.511929707	0
KCNB1	4.708688077	6.336917486	6.281823874	0
CDH6	-3.291279423	3.71511032	-1.340296544	-1.411005816
RTBDN	6.677298579	6.857492062	-6.021425627	3.389254349
TANC2	2.297987906	7.300006896	-2.874976957	0
SERPINE2	1.698188118	-2.944657526	2.785481274	-0.918566165
PGM1	-1.209528755	-2.404390577	-4.098147283	0
SLC12A8	-3.269552196	2.229230082	2.340305452	0
FYB2	-2.879719598	1.201688506	5.418193662	0
CACNA1G	6.885398953	-1.7610001	-3.687253055	0
DDX17	-1.517807173	-4.729394561	-2.428248504	0
ITGB6	-4.022579669	3.434850536	-5.447227732	0
ZNF778	1.962380503	1.124005026	2.228319078	0
PLEKHH2	4.599880031	2.489007313	2.901573729	0
SLC17A2	-3.843199646	1.897425997	-4.450162627	0
AFF3	-1.597628004	7.708048891	-1.660466563	0
PHYHIPL	2.28415015	-1.78398204	-4.301652327	0
HAND1	7.06300529	3.45010939	3.725836567	0
CYP4A22	-3.085379294	-1.812888008	-3.453125744	1.278664333
CAPRIN1	-1.434289433	3.422311138	4.03733194	0
DIRAS3	2.272490117	2.882698	-3.892337117	0
MYPN	-3.519062163	-3.487923646	3.788454341	0
PNMA2	4.325726074	2.260136566	5.207946628	0
TAGLN3	6.260209396	-2.426011469	2.838233348	0
DSC2	-2.402761192	2.616513398	-1.974167724	0
ALDH3A1	-3.940128376	6.425500947	3.693706813	1.250335292
OTUD7A	3.753043368	-2.07914474	-1.784815309	0
MT1X	3.347833053	1.635471582	-5.046295874	0
OPN3	-1.476256909	-3.78842991	-2.230501976	0
MSN	-2.144724298	4.995122068	-1.940661756	0
MSI2	-1.30610215	-3.37808808	-3.10021824	0
KDM3B	-1.850030989	-1.959571504	1.760006162	0
LASP1	-2.604816531	1.729364915	2.697741159	0
POU4F1	6.804865872	1.481345982	-2.756359225	0
SULT2A1	-3.459930531	-3.076826507	-3.031341981	0
SPX	3.190280631	-1.167334085	1.382174766	1.325332866
RMC1	1.547269734	3.785680998	4.646750726	0
MAPRE2	1.50432864	-4.20810006	2.769103656	0
ARHGAP26	1.772267015	-2.472694166	7.369371488	0
LRRC37A3	-2.280209544	-1.664700133	3.721722903	0
AP005329.2	3.205808302	-3.273931802	-2.96284723	0
DLX4	5.339647954	-2.313805113	4.485142773	0
TMEM59L	5.449908296	-5.062514495	1.46333458	3.12152483
ABCG8	-3.019110914	-2.890508101	-2.639534056	0
KAT7	-1.480577297	1.859305707	2.965731464	0
PXK	1.578395273	2.461016079	0.823764184	0
SLC23A2	1.494249123	5.329385263	-1.184426399	0
PDZK1IP1	-3.264664797	-2.41441419	6.663326188	0
ZNF532	-3.42110494	3.696192585	2.602806709	0
ZFX	-2.523852523	-2.51297122	4.586924966	0
ARL10	2.083043116	5.639019377	-2.739915572	0
DNAI1	5.997681909	-1.06891914	-4.008511286	0
SCN4A	5.523676039	-1.68970976	2.074269922	0
NUDT3	-1.493165272	3.159197845	7.823341278	0
OLIG2	6.445195909	-1.95777432	2.930496109	0
ALDH8A1	-2.222244708	-1.925649128	3.68489772	0
PKP2	-1.252937605	-1.657711179	3.407406251	0
STC1	5.745684211	1.80196874	-2.595889656	0
DENND2D	-1.962075496	-1.787198352	1.575259451	0
CYP2C18	-2.640627444	-1.544252351	-1.10993927	0
TMEM139	-1.862533846	-2.143099886	-4.022028359	0
TP53I3	-2.445519026	-1.423115412	-2.595909598	0
PSAT1	2.210426363	-1.214428757	-1.515635055	0
YWHAZ	-1.320672062	-2.882697992	-1.887963708	0
AKR1B1	-1.612881799	-3.685206353	-1.809713735	-0.707310433
NGFR	6.480812236	1.66758075	-1.170830138	0
HNRNPL	-1.86652638	1.442806722	-4.278717574	0
AKT3	3.356442786	-3.943929532	1.74774342	0
BMP2	-2.230460955	-1.350780363	4.068138479	0
IGF1	-2.50542496	3.37938585	-5.765231861	0
LINC01146	-3.814437329	2.751167066	-2.136124731	0
CC2D2A	-2.707054391	-4.602927628	2.937371634	0
CCK	6.315591544	-5.33460673	3.285925918	0
UBXN10	2.917530598	-1.441094059	1.968689081	0
TTC39A	-2.963198744	3.420760839	1.717405409	0
PAX9	5.97223883	2.766560832	-0.80730722	0
LAMP3	2.880852412	-4.477800141	-2.216376499	0
TRIP6	-3.387216645	-1.747433254	-1.999891922	0
MARCH3	2.788719316	-2.139605965	7.376003658	0
AL137003.1	3.134353325	3.72609065	-1.285112195	0
PLPPR1	2.906861706	6.908553316	-4.577291267	0
CDON	1.789170254	-2.975509832	-6.83362087	0
CAMK2G	1.547558815	4.847336263	-4.537213749	0
TMEM43	-1.244676414	-1.664178007	3.983751319	0
CLTCL1	1.49509305	-1.75475479	1.782235941	0
TGFB3	-4.291445085	2.271026261	7.397043288	0
LBP	-1.684887442	-1.931907758	1.09440787	0
GNE	-1.042475385	1.59535072	1.129814593	0
GJA3	5.227949275	-1.899231501	-1.624962193	1.702816443
EWSR1	-1.877343447	4.341440051	-4.270462504	0
CHRM4	5.688784589	-1.851232911	3.428843105	0
PARP12	-1.501020502	1.636584415	3.237148738	0
TMEM169	2.892428484	6.527182975	-3.423618518	0
FECH	-1.519775049	-2.468785203	-2.253065631	0
CUX2	-2.718139684	-3.162147399	2.997597721	0
SIPA1L2	2.371735581	-2.988262241	-1.189543866	0
MATN2	-2.087114708	-0.809683669	1.520466259	0
WNT16	6.277950484	-1.157427438	-3.720776462	0
PSG1	-3.557811535	4.501408188	-2.157967042	-1.15834632
PCP4L1	3.205325329	-2.810031464	-1.616379877	0
KCTD15	-2.936231985	1.845556822	-1.039132812	0
NSUN4	-1.558318166	-2.03207048	-5.815562549	0
PRAMEF8	-5.494736985	3.262261038	-2.661258923	0
ARF6	-1.187698364	-1.565134219	5.552864276	0
KIAA1958	1.213160225	2.538391929	6.267756234	0
PIPOX	-1.898841153	1.625376667	-6.155997011	0
DNAJC22	-2.291579517	-2.672564993	-1.246470189	0
VPS52	-2.507467673	5.870867774	-2.439957115	0
SERPINB8	-2.793248952	2.589789994	2.092319944	0
SNCG	-3.453716601	5.528338014	-1.459584436	0
PTGFRN	-1.782337442	1.968591522	-1.796843203	0
KMO	-4.695236383	-3.884744253	-1.783137568	0
LINC02532	-2.891384328	2.781721159	2.806253422	0
ADAMTS10	-5.66390992	2.121122586	-1.421112305	0
CTXND1	-2.529239723	-1.050625318	-4.213472809	0
LMX1B	5.807432325	-2.604286605	6.834323202	0
THBS1	-2.009239156	2.834625469	1.599964516	0
ITPR1	1.963837124	-2.642379658	-2.678711508	0
MT-CO3	-3.496092491	1.92926492	2.453580171	0
PROX1	-1.710347301	-0.705249148	-1.446706981	0
TRIB1	-1.61958471	-1.582169803	-1.927515896	0
MCCC2	-0.943474497	-1.833931193	6.28376833	0
CALCOCO1	1.688692753	-0.776332064	-2.208553945	-0.570446268
ID3	-2.87609082	-3.300278289	-2.003585045	0
CCNB1IP1	2.071142912	3.559470285	4.22247226	0
SMC1A	-1.537043956	-2.743530254	1.934542107	0
AGMAT	-1.853040219	2.460290265	1.94101486	0
SCTR	-4.125143299	2.061743851	-3.409955145	-1.425078912
STAC2	6.304966933	3.527356596	-1.415294058	0
TRIM9	5.019754266	3.751069169	-4.044155386	0
SETD7	-1.584863996	2.63264987	-1.685760036	0
ENAM	-2.935960771	5.293958533	4.095527029	0
PYGL	-1.249693128	-3.415722764	-3.250456096	0
DHRS3	-2.061675016	-4.493985297	-2.836421714	-1.425377642
DOC2B	4.871904079	-2.319243547	4.071672258	0
SRSF6	-1.297797488	-5.469064339	3.89535942	0
PTPN9	-1.749815646	3.563878887	-4.796122317	0
C7orf57	6.307043208	-2.24225475	7.057256658	0
RBMX	-1.989948074	3.983943789	2.808114658	0
INPP5K	1.604142058	1.157133793	-1.281150507	0
AC018647.2	1.812194376	1.231889677	-1.254436286	0
TDRKH	2.090871194	-3.322939205	1.203948632	0
SRSF2	-2.481689567	1.759613129	3.835667268	0
ROPN1L	4.751332343	4.180312595	2.025956784	0
PDE4DIP	1.299492543	4.670404472	-5.718767773	0
EPDR1	-1.630421508	-1.797531428	-0.899238404	0
CTGF	1.430259133	2.652512735	-5.386836669	0.899099667
HDGF	-2.063343472	-2.69476138	7.396409582	0
OASL	1.902995503	2.027675824	3.983407298	0
HLA-DQB1	3.476925829	2.755491715	-2.253054384	0
PCDH19	4.229268853	6.507678459	-1.897289824	0
CES2	-2.030024185	-2.13791885	2.632910635	0
SOX4	-2.043820268	-3.608379107	-0.897788376	-0.74627709
PPP1R14B	-2.337048305	1.732680862	0.548749521	0
DENND3	3.389295249	-1.64969011	1.532514142	0
RFX3	2.527615829	-1.273863305	-1.199303641	0
CIDEB	-3.007029552	2.872554909	3.863864723	0
TTLL6	3.844893798	5.380378221	1.966747781	0
SLC29A3	-3.248489356	-4.084367626	-0.928101923	0
ZNF618	-2.781457802	-3.639138339	-1.581688918	0
ELOVL4	5.577352907	-2.362503929	6.986227417	0
FKBP9	-1.945614562	-3.022230639	-3.843444534	0
EBF3	5.674678718	3.627882495	-2.739855679	0
ZEB1-AS1	2.149767384	5.614528062	-2.331297252	0
SDS	3.080923895	3.123671612	-3.766031063	0
PKHD1	-2.053554585	-3.820003924	2.103155022	0
KIF5A	3.717059092	-0.79472541	2.805658932	0
MFSD6	-1.567671039	-1.279261618	7.481346429	0
NGEF	-2.816926478	-2.738470048	-2.136365973	0
PRAMEF7	-5.831180537	-4.832930947	2.885127866	-1.901530554
ULBP2	3.008908171	-1.245665011	-6.470598985	0
MAP1A	4.677824752	1.562091989	2.55066688	0
FAM220A	1.528612782	-2.897755308	-1.484388289	0
KIF20A	-3.603033946	-1.72186748	-1.817992743	2.213779502
SNCB	6.432064118	-5.749498864	3.270428395	0
STARD13	-1.386278405	3.380215374	-0.951430347	0
KDM1B	1.401460939	-1.699330967	-1.871960578	0
LINC01559	-5.309362855	2.418905065	5.223590206	-1.471856527
CDCA3	-3.743681244	5.241874628	-1.263503942	0
HLA-DMB	3.613622002	6.63677054	-2.14268103	0
AL138828.1	2.610408501	-2.065590679	-1.923254455	0
MYOF	-2.210315718	-3.167944411	3.785772813	0
PGM2	2.031602099	1.666464212	3.161776536	0
PPP2R2B	4.906321108	3.704832963	-2.653557288	0
MMP14	-2.615501772	1.642856647	-1.902874758	0
FGFR1	2.685557539	-0.915658856	6.579378892	0
HABP4	1.35199307	6.418847067	0.938083449	0
AC078850.1	-4.471850931	3.923094457	-1.693901776	-1.557018907
NUGGC	-3.788927929	-1.767648746	-4.232734066	0
THAP10	2.20395283	-2.744913288	2.814014114	0
NBR2	2.486296603	-1.824497721	1.114155172	0
LINC01554	2.493619855	-2.357270249	1.976816817	0
LRP2	2.678438929	-1.015072027	5.191376017	0
ITGB5	-1.739983473	-2.245139015	2.990741833	0
MSL1	-1.643869222	1.449860167	7.805366763	0
SLC22A3	-1.577499198	-1.704412778	-2.035235957	0
MBNL2	-1.223833668	-2.300486978	2.049484816	0
LINC02575	1.873425424	3.646947467	1.839528518	0
AURKB	-3.962554537	-0.979748117	4.036811347	2.107024974
FGFR2	-1.570387595	2.720631215	-2.63436762	0
EML6	3.081675212	1.263761063	-2.502822513	0
LYPD3	3.315704784	-1.293816691	3.022514311	0
HAVCR1	-3.276698897	4.071925822	4.262665099	0
SCD5	3.015536832	-2.86979645	1.201813372	0
URGCP	-2.101825367	2.651313679	-3.700807786	0
FAXDC2	-2.101029064	1.404048925	-3.767022347	0
PDZK1	-2.123611581	4.073336266	-2.379149079	0
SLC17A4	-3.831826887	5.9597355	5.886632027	0
EFNB2	3.326714497	3.631231993	4.026538338	0
SLC18A3	6.136227384	-4.4689215	-2.578429002	0
NXPE3	2.407747008	-0.765807175	6.609473913	0
STMN4	6.202186982	-2.890221381	-1.325450366	0
GABRQ	4.172597815	2.682254265	-3.035697591	0
FEZ1	2.926698843	-3.757818675	-1.639758176	0
SLC22A7	-3.295601083	4.863824943	-4.808398823	0
CTPS1	-1.775313384	-5.738737058	-2.868916783	0
LRRC41	-2.575876387	7.072951417	-1.423230883	0
SPAG7	-1.738628003	-2.869382993	-2.610076795	0
PRPH	5.702181499	2.022563149	6.294393931	0
ITGA2	2.287794744	2.021318938	-3.816475015	0
LONRF2	2.052713037	-2.472123677	-1.248720742	0
TSPAN5	3.32561777	-1.86265467	2.352582078	0
ALYREF	-1.751897651	-3.515713057	1.885793793	0
PDGFA	-2.405154672	2.276507135	-5.624494098	0
TAX1BP3	-3.409280664	3.879566718	-1.747398125	0
CD70	5.124583119	5.839251082	-4.205032998	0
FBP1	-1.413823747	-3.646848369	-4.192544529	0
MVP	-2.626863726	-3.030475185	3.34351415	0
LAYN	4.965575519	6.870545857	-3.895387793	0
PFKFB1	-1.956079799	-1.563696301	1.708252958	0
GCDH	1.862599422	2.536926237	6.41964644	0
GPX2	-2.642604637	1.483436376	-1.614512251	0
PBLD	-2.781266362	-1.885347357	-2.461810248	0
MCRS1	-1.548942867	3.493178295	1.445381246	0
SLITRK2	5.873562042	4.755404143	2.089177482	0
ASXL3	2.322327268	3.773472146	5.611752869	0
GSN	-1.742789344	-2.572798424	-1.059953392	0
ANKRD27	1.144015923	-1.310402723	-1.183095906	0
SLITRK3	2.644461911	-1.768402472	-1.076925002	1.077731242
GPRC5B	-2.053856615	-2.606063389	1.080357309	0
L3HYPDH	-1.586981265	-2.837280829	-3.530815285	0
ELMO1	-2.207566152	-1.109357936	-2.964331677	0
ACTA2	-2.081244907	1.977701289	-1.376515731	0.821021121
ERVK13-1	1.563961221	3.241571871	1.556519531	0
CYP2U1	2.201677682	-3.397245454	4.666514852	0
CCND2	2.674795176	1.536453082	-1.79414218	1.295529276
SLC30A10	-2.038075456	-1.536188202	-2.251788664	0
SUMO3	-1.867503385	1.251160814	-3.499236685	0
SH3RF1	-1.374853494	-2.071019709	-1.122772907	0
FAM86JP	1.975900812	1.921579839	1.523953646	0
UGT2B15	-3.508732261	-3.611444863	-2.350158868	0
PLPP3	-1.619424584	-1.463706163	-3.252641767	0
APOL1	-1.39745976	5.737782717	1.136819462	-0.505274044
OTUD3	2.552162747	1.57621247	1.096222307	0
MX1	-2.010312369	1.90019634	2.529388612	0
ALAS1	1.273414136	2.028248313	1.209133066	0
SLC22A25	-2.397298148	7.64723599	-1.722956283	0
GPRIN3	2.020775369	-1.169250915	1.985015682	0
ANXA8L1	-2.981294266	1.993452273	-1.560725042	0
MAP3K6	-4.270606112	1.559610258	-1.256085489	0
MSC	-3.100452431	4.152461363	-2.204375158	0
NCMAP	2.679633528	2.350403159	1.409660461	0
DROSHA	-1.160433177	-1.926837094	-1.062960121	0
ACY1	-1.689937332	-2.258752164	-2.171709245	0
PITPNA-AS1	2.299951839	-2.309411163	-1.800168949	0
LAMA4	-2.144278387	4.041559588	1.655233453	0
TXNL4B	1.342675034	-1.729289007	4.030306535	0
H2AFY2	-3.073376358	-1.849244564	1.541517737	0
CCDC184	6.007353689	-3.142950636	1.111478078	0
ATP2A3	5.489110654	-3.45418923	-3.754763633	0
FAM27C	4.922989651	-1.500307041	-2.918539582	0
CCDC149	-3.43144177	-2.192573925	-2.101720294	0
SLC22A9	-4.141480751	3.14031755	4.905717473	0
ALDH1L2	3.33172866	6.579098135	2.918678398	0
CNKSR3	-1.046410242	4.698805104	-2.97185813	0
UNC13A	4.802273801	2.356140326	-2.745059633	0
RTL9	2.791903462	-1.577864458	2.50622343	0
ISL2	5.58673084	-2.149452216	-2.115108939	0
SLC45A1	4.864435613	-1.89465809	6.170019391	0
SNAP29	0.981337008	2.797720407	-1.530160108	0
FBXO42	1.214016991	6.536327783	-3.231376272	0
MAST1	4.254861808	-1.170648347	-4.3884215	0
SFRP1	5.734811902	-3.031391433	1.650182371	0
CCL20	4.031581881	-3.780961199	3.05557615	0
KPNB1	-1.266377672	1.620145538	-2.482651298	0
RNFT2	2.636428312	-1.009905194	4.751362836	0
CAV2	-1.894359584	-1.56600457	-1.241736595	0
TMEM206	2.167404926	4.122016703	1.256630019	0
MANSC1	-1.701813111	2.772814679	-2.562548289	0
LAMC2	-1.352130152	4.845368107	1.978918979	0.667140775
NBEA	3.799229049	-1.725383212	-3.094409606	0
GEMIN4	-1.875963608	1.555657897	-1.488307858	0
WSB2	-1.070127491	-1.975681009	-2.867228514	0
LGALS4	-2.304746438	-1.241194013	4.318350961	0
CERS2	-1.768298801	-2.433704175	-3.503617514	0
CLIC1	-1.370960601	-4.427048598	6.442871271	0
PLCL1	5.413816989	-2.298812807	-5.483710416	0
KIAA1147	-1.308857033	4.20778238	6.377832342	0
HJV	-2.360837504	3.287158663	-1.625013441	0
NFKB1	-1.287497241	-1.709462909	2.390158543	0
CDKL5	1.585606141	3.233970022	-1.968785151	0
HDAC3	1.605414205	-1.419769474	1.776062909	0
SUSD4	2.028185099	1.761225636	-1.355903391	0
COL14A1	5.264966485	-1.589147388	6.898528323	2.291632501
PROM1	2.615362572	-1.827724824	-5.730217517	0.956866061
PJA2	1.793198524	-7.139305194	-1.599131151	0
EPS8L3	-3.852769928	-3.630128765	5.321584719	0
PAX6	3.424021253	1.831242746	3.634953231	0
ADGRL1	3.568575789	3.862048951	-1.514300192	0
ASPHD2	4.121480922	6.0054617	-5.101455931	0
TRIM36	2.502703674	-1.976823724	-2.978074102	0
HFE	-2.131440822	-1.664788053	-1.073572748	0
